Sexo,Edad,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Hombres,30,1384,1434,1485,1532,1587,1649,1714,1784,1858,1938,2022,2095,2202,2312,2420,2538,2655,2775,2898,3019,3138,3241,3341,3437,3531,3623,3714,3840,3969,4104,4233,4312,4393,4459,4508,4538,4555,4629,4721,4833,4967,5059,5200,5350,5518,5692,5866
Hombres,31,1329,1376,1427,1479,1526,1583,1646,1711,1782,1857,1937,2020,2092,2200,2311,2420,2539,2657,2779,2903,3026,3134,3239,3339,3436,3528,3620,3743,3867,3998,4128,4213,4297,4377,4443,4492,4523,4618,4697,4790,4903,4974,5094,5228,5386,5553,5729
Hombres,32,1281,1325,1373,1424,1476,1524,1582,1646,1712,1783,1857,1936,2020,2092,2201,2313,2422,2543,2663,2786,2911,3023,3133,3239,3340,3436,3528,3651,3772,3899,4026,4113,4201,4285,4364,4431,4480,4588,4687,4765,4858,4910,5009,5121,5261,5416,5584
Hombres,33,1236,1277,1321,1370,1422,1474,1524,1582,1647,1713,1783,1858,1937,2021,2094,2204,2317,2428,2550,2671,2795,2910,3024,3135,3242,3343,3439,3561,3683,3807,3931,4014,4103,4190,4274,4354,4421,4545,4656,4753,4831,4865,4944,5034,5150,5286,5440
Hombres,34,1196,1234,1276,1321,1370,1422,1476,1525,1584,1649,1715,1785,1860,1939,2024,2098,2209,2323,2435,2558,2680,2794,2911,3027,3139,3246,3348,3473,3596,3720,3842,3921,4006,4094,4181,4265,4346,4485,4612,4720,4816,4837,4897,4966,5059,5171,5306
Hombres,35,1161,1195,1234,1276,1321,1371,1424,1477,1527,1586,1650,1716,1787,1862,1942,2028,2103,2215,2330,2443,2567,2680,2797,2915,3032,3145,3253,3383,3508,3633,3756,3833,3913,3997,4085,4173,4257,4408,4549,4673,4779,4822,4867,4917,4988,5076,5185
Hombres,36,1131,1163,1198,1236,1278,1323,1374,1427,1480,1530,1588,1652,1719,1790,1866,1947,2033,2109,2222,2338,2452,2568,2683,2801,2920,3038,3152,3287,3418,3547,3671,3748,3826,3905,3989,4078,4167,4318,4469,4607,4729,4785,4849,4885,4935,5001,5085
Hombres,37,1103,1133,1165,1200,1239,1280,1326,1376,1429,1482,1531,1589,1655,1721,1793,1870,1951,2038,2115,2229,2346,2452,2570,2686,2806,2927,3046,3186,3322,3456,3585,3663,3740,3817,3897,3983,4073,4224,4376,4525,4661,4735,4810,4865,4899,4944,5005
Hombres,38,1076,1106,1136,1168,1203,1241,1283,1328,1378,1430,1482,1531,1591,1657,1724,1797,1874,1957,2044,2122,2236,2347,2455,2574,2692,2813,2934,3079,3221,3360,3495,3576,3654,3731,3809,3891,3978,4126,4279,4427,4574,4665,4756,4822,4875,4903,4942
Hombres,39,1050,1080,1109,1139,1171,1205,1243,1284,1329,1378,1429,1482,1533,1594,1660,1728,1801,1879,1962,2050,2128,2237,2348,2458,2579,2697,2819,2965,3111,3257,3398,3484,3566,3644,3723,3803,3886,4028,4178,4327,4474,4578,4684,4765,4829,4875,4897
Hombres,40,1021,1054,1084,1112,1141,1172,1206,1244,1284,1328,1375,1427,1483,1534,1595,1662,1730,1804,1882,1966,2055,2128,2238,2351,2463,2584,2704,2849,2997,3147,3293,3386,3473,3555,3635,3716,3798,3932,4075,4221,4370,4476,4593,4689,4768,4824,4865
Hombres,41,989,1025,1058,1087,1114,1143,1173,1206,1242,1281,1323,1372,1428,1484,1536,1597,1664,1733,1807,1886,1970,2055,2129,2240,2355,2466,2589,2731,2878,3030,3180,3280,3374,3462,3546,3629,3712,3841,3977,4116,4262,4371,4487,4594,4687,4759,4809
Hombres,42,965,992,1028,1060,1088,1114,1142,1172,1203,1238,1276,1320,1373,1429,1485,1538,1599,1667,1736,1811,1890,1970,2056,2131,2243,2358,2470,2614,2759,2909,3062,3166,3267,3361,3451,3539,3624,3750,3881,4013,4153,4262,4379,4486,4590,4676,4741
Hombres,43,933,968,994,1029,1060,1087,1113,1140,1168,1198,1231,1271,1320,1374,1430,1487,1539,1601,1670,1739,1814,1889,1971,2057,2132,2245,2360,2493,2639,2787,2939,3046,3152,3253,3350,3443,3533,3659,3787,3916,4049,4153,4266,4374,4477,4574,4654
Hombres,44,910,934,968,994,1028,1057,1084,1109,1134,1161,1189,1226,1272,1321,1374,1431,1487,1541,1603,1671,1740,1812,1888,1970,2057,2133,2245,2381,2516,2665,2813,2921,3030,3137,3240,3340,3436,3564,3691,3818,3948,4045,4151,4256,4361,4458,4549
Hombres,45,888,910,934,967,991,1024,1053,1078,1102,1126,1151,1183,1226,1272,1321,1374,1430,1487,1541,1603,1671,1738,1810,1887,1970,2056,2132,2265,2402,2539,2689,2795,2905,3015,3123,3230,3332,3463,3593,3720,3848,3942,4040,4138,4240,4339,4431
Hombres,46,865,887,909,932,963,987,1019,1047,1071,1093,1115,1145,1184,1226,1272,1321,1374,1431,1487,1540,1602,1668,1735,1808,1886,1968,2055,2150,2284,2422,2560,2670,2778,2888,3000,3111,3220,3356,3490,3619,3748,3840,3933,4023,4120,4216,4310
Hombres,47,839,861,883,904,926,957,980,1011,1038,1061,1081,1109,1145,1184,1226,1272,1321,1374,1430,1487,1539,1600,1666,1734,1807,1884,1966,2071,2167,2301,2440,2541,2652,2761,2873,2987,3101,3241,3380,3514,3645,3737,3826,3913,4002,4093,4185
Hombres,48,814,835,857,878,898,919,949,971,1001,1027,1048,1074,1109,1145,1183,1226,1271,1319,1372,1428,1484,1535,1596,1663,1731,1804,1881,1980,2086,2182,2317,2422,2523,2635,2745,2860,2976,3120,3263,3402,3538,3632,3720,3805,3890,3975,4062
Hombres,49,786,807,828,849,869,889,910,939,961,989,1013,1041,1074,1108,1144,1182,1223,1268,1317,1369,1423,1479,1531,1592,1659,1727,1799,1893,1993,2099,2195,2298,2403,2505,2618,2731,2846,2992,3139,3282,3424,3521,3612,3696,3780,3862,3943
Hombres,50,758,778,798,819,839,859,879,899,928,948,976,1006,1040,1073,1106,1142,1179,1221,1265,1312,1363,1419,1475,1527,1588,1655,1722,1810,1903,2003,2109,2175,2278,2384,2487,2601,2715,2859,3008,3155,3302,3405,3499,3586,3670,3751,3830
Hombres,51,730,748,768,788,808,828,849,868,888,916,936,969,1006,1039,1071,1105,1139,1176,1217,1260,1306,1359,1414,1470,1522,1583,1649,1731,1818,1912,2012,2089,2156,2259,2366,2470,2586,2727,2874,3023,3173,3280,3380,3471,3558,3640,3718
Hombres,52,702,718,736,756,776,797,817,837,857,877,904,930,970,1005,1038,1069,1102,1135,1171,1210,1252,1301,1353,1409,1464,1516,1576,1656,1737,1825,1919,1992,2070,2137,2240,2348,2453,2595,2739,2886,3038,3149,3254,3351,3443,3528,3608
Hombres,53,676,689,705,723,743,764,786,806,827,846,866,899,930,969,1003,1035,1066,1097,1129,1164,1202,1247,1295,1347,1402,1457,1508,1581,1660,1742,1830,1898,1972,2050,2117,2221,2329,2460,2604,2748,2898,3011,3120,3223,3321,3412,3496
Hombres,54,652,662,676,692,711,731,753,774,795,816,836,860,897,927,965,999,1030,1059,1089,1121,1154,1196,1240,1288,1341,1395,1450,1513,1585,1663,1744,1809,1878,1951,2029,2098,2202,2335,2468,2613,2758,2870,2981,3089,3193,3291,3381
Hombres,55,628,636,647,662,679,698,719,741,764,785,807,830,858,894,923,960,993,1023,1051,1080,1110,1148,1189,1233,1281,1332,1386,1451,1514,1586,1664,1724,1789,1857,1930,2009,2077,2206,2341,2474,2620,2728,2839,2949,3058,3162,3258
Hombres,56,605,612,621,633,648,666,686,708,731,754,777,801,827,854,889,918,953,986,1014,1041,1068,1104,1141,1182,1225,1271,1322,1386,1451,1513,1585,1643,1703,1767,1836,1910,1988,2081,2211,2345,2479,2589,2697,2807,2918,3026,3129
Hombres,57,584,590,597,607,620,636,655,676,699,723,748,772,797,822,848,883,910,945,976,1003,1028,1061,1096,1133,1173,1215,1261,1321,1384,1448,1510,1563,1622,1681,1745,1814,1888,1990,2083,2213,2347,2447,2557,2665,2776,2886,2993
Hombres,58,561,567,574,582,593,607,624,644,666,691,716,741,766,790,815,841,874,901,935,964,991,1022,1054,1088,1123,1162,1203,1258,1318,1380,1444,1489,1542,1600,1659,1724,1793,1888,1991,2083,2213,2314,2415,2524,2632,2742,2850
Hombres,59,538,545,553,561,570,582,597,615,636,660,685,710,735,759,783,807,832,865,890,923,952,984,1014,1045,1078,1112,1150,1200,1254,1312,1374,1422,1467,1520,1577,1637,1702,1792,1888,1989,2081,2180,2282,2382,2491,2598,2706
Hombres,60,513,522,531,539,548,558,571,588,607,629,654,678,702,726,750,774,797,821,854,879,911,944,975,1005,1035,1066,1098,1145,1194,1247,1305,1353,1401,1445,1497,1555,1615,1699,1789,1884,1984,2047,2147,2248,2348,2456,2561
Hombres,61,487,498,508,517,526,536,548,562,580,600,623,646,669,692,716,740,763,787,811,842,867,903,936,965,994,1022,1052,1093,1138,1186,1237,1283,1331,1379,1423,1475,1533,1611,1695,1784,1878,1950,2014,2112,2213,2310,2416
Hombres,62,461,473,485,495,505,516,527,539,555,573,594,615,636,658,682,705,729,753,776,799,830,858,894,925,954,981,1008,1045,1085,1128,1175,1216,1261,1309,1356,1400,1452,1528,1605,1688,1776,1843,1916,1979,2076,2174,2268
Hombres,63,435,448,460,472,484,495,506,518,531,547,566,585,603,624,647,670,694,718,742,765,788,822,849,883,914,941,966,1000,1036,1074,1116,1154,1195,1239,1285,1333,1376,1445,1520,1596,1677,1739,1807,1878,1940,2034,2130
Hombres,64,411,424,436,449,462,474,485,497,510,524,540,556,572,591,612,635,659,683,707,731,754,779,812,838,870,899,924,956,989,1023,1060,1095,1133,1172,1215,1262,1308,1367,1435,1508,1583,1640,1702,1768,1838,1898,1989
Hombres,65,387,399,412,425,438,451,463,476,488,501,515,529,543,559,579,601,624,648,673,697,722,745,769,800,825,856,884,915,945,976,1009,1040,1074,1110,1149,1191,1236,1297,1356,1422,1494,1545,1602,1662,1727,1794,1850
Hombres,66,366,378,390,402,415,428,442,454,466,479,492,503,515,529,546,566,588,612,638,662,687,710,733,756,787,810,840,873,902,930,960,988,1018,1051,1086,1124,1165,1225,1285,1342,1407,1456,1507,1561,1620,1681,1745
Hombres,67,342,355,366,378,391,404,417,430,443,455,468,478,488,501,516,534,555,578,603,628,654,676,699,720,743,772,794,828,858,885,912,938,966,994,1026,1060,1096,1152,1210,1269,1324,1367,1416,1465,1518,1573,1631
Hombres,68,320,333,345,357,368,381,394,407,420,432,444,454,464,475,488,505,523,545,568,593,620,641,663,684,705,726,754,780,811,840,866,891,916,942,969,999,1032,1082,1136,1193,1249,1284,1326,1373,1420,1470,1521
Hombres,69,297,311,323,335,346,357,370,382,395,408,420,430,440,450,462,476,493,512,535,559,584,606,627,648,669,690,710,740,763,793,820,845,869,892,916,942,971,1017,1065,1117,1172,1208,1242,1282,1327,1371,1418
Hombres,70,272,287,300,312,323,334,345,357,369,382,394,405,415,426,437,450,464,482,502,524,549,569,590,611,632,653,673,694,722,744,772,798,822,843,865,888,912,954,998,1044,1094,1130,1165,1198,1236,1278,1319
Hombres,71,247,262,277,289,301,311,322,333,344,356,368,379,390,402,413,425,438,454,472,492,515,534,554,575,596,616,636,655,675,701,721,749,774,796,815,836,857,894,935,977,1021,1053,1087,1120,1151,1186,1224
Hombres,72,224,238,253,266,278,289,300,310,320,331,342,354,366,378,390,402,414,428,444,462,483,500,518,538,559,579,599,617,635,653,678,699,726,749,768,787,806,839,874,912,951,979,1010,1042,1073,1101,1133
Hombres,73,202,216,230,243,256,267,278,288,297,307,317,328,340,353,365,378,390,403,417,433,452,466,482,501,521,541,561,578,596,613,630,656,675,699,720,739,755,786,818,850,885,910,936,964,994,1023,1048
Hombres,74,182,194,207,220,232,244,256,265,274,283,292,303,315,328,341,354,366,379,392,406,422,434,449,465,484,503,523,540,556,573,589,607,630,648,670,690,706,734,763,792,822,844,867,891,918,945,971
Hombres,75,163,173,184,196,208,220,232,242,252,260,268,278,290,303,316,329,342,355,367,380,394,404,417,431,448,466,485,501,517,532,548,565,582,603,619,641,658,685,711,737,763,782,801,823,846,871,895
Hombres,76,148,155,164,175,186,197,209,220,229,238,246,255,266,278,291,304,317,329,342,354,366,375,386,398,413,429,447,462,478,493,509,525,540,555,575,590,608,636,661,684,708,724,740,759,778,798,820
Hombres,77,133,140,147,155,165,175,186,197,207,216,224,233,244,255,267,279,292,304,317,328,340,348,357,368,380,395,411,425,439,454,470,485,499,513,526,545,558,586,611,633,654,669,683,698,714,731,749
Hombres,78,120,125,130,137,145,154,164,174,184,193,202,210,221,232,243,254,266,278,291,302,313,321,329,339,350,363,377,389,402,416,431,446,460,473,485,498,514,535,560,583,602,615,628,641,654,669,684
Hombres,79,108,112,116,122,128,135,144,153,162,172,180,189,200,210,221,231,242,253,265,276,287,295,303,312,321,332,344,354,365,378,393,406,420,433,445,457,468,491,510,533,552,566,576,587,599,610,622
Hombres,80,638,665,692,721,753,785,820,859,904,954,1001,1063,1143,1224,1310,1397,1480,1569,1656,1744,1830,1915,2005,2092,2180,2275,2366,2440,2524,2615,2717,2816,2918,3020,3123,3231,3343,3470,3605,3730,3852,3957,4036,4116,4190,4259,4310
Mujeres,0,4845,4976,5105,5223,5325,5408,5473,5505,5534,5569,5609,5628,5628,5631,5631,5630,5626,5621,5616,5612,5598,5656,5718,5765,5804,5832,5841,5846,5850,5851,5861,5848,5830,5811,5799,5793,5777,5845,5928,6019,6104,6149,6245,6328,6417,6496,6557
Mujeres,1,4633,4774,4915,5048,5172,5278,5365,5435,5472,5511,5554,5579,5587,5599,5609,5616,5621,5623,5624,5625,5622,5661,5710,5760,5794,5818,5837,5843,5835,5820,5818,5800,5785,5769,5751,5743,5743,5817,5894,5982,6074,6107,6191,6266,6351,6428,6499
Mujeres,2,4504,4645,4791,4933,5069,5194,5303,5394,5466,5507,5549,5574,5583,5595,5610,5623,5632,5639,5643,5647,5652,5687,5714,5755,5795,5818,5837,5858,5854,5830,5811,5781,5761,5747,5730,5711,5709,5802,5883,5961,6049,6086,6156,6224,6297,6371,6441
Mujeres,3,4387,4525,4671,4817,4961,5098,5226,5337,5429,5504,5546,5570,5580,5592,5607,5624,5638,5649,5657,5664,5670,5702,5728,5750,5782,5815,5836,5859,5872,5855,5827,5781,5749,5730,5713,5694,5681,5773,5871,5952,6029,6061,6133,6190,6255,6318,6384
Mujeres,4,4276,4408,4550,4696,4844,4988,5127,5256,5367,5461,5536,5562,5572,5585,5599,5616,5634,5651,5663,5674,5683,5709,5733,5755,5771,5799,5830,5857,5875,5877,5857,5802,5755,5722,5701,5681,5666,5748,5843,5941,6019,6041,6106,6167,6221,6277,6334
Mujeres,5,4166,4296,4432,4574,4721,4870,5015,5155,5284,5397,5490,5551,5564,5576,5591,5607,5625,5645,5663,5677,5690,5712,5732,5754,5770,5783,5810,5849,5872,5882,5883,5834,5779,5731,5697,5671,5655,5735,5819,5913,6008,6033,6086,6142,6198,6244,6294
Mujeres,6,4057,4185,4317,4453,4595,4743,4892,5039,5178,5309,5422,5502,5551,5565,5580,5596,5613,5633,5654,5674,5689,5710,5728,5746,5763,5779,5791,5827,5863,5881,5889,5861,5813,5758,5708,5669,5647,5725,5807,5889,5980,6023,6078,6122,6173,6223,6263
Mujeres,7,3947,4072,4202,4334,4471,4614,4762,4912,5059,5200,5330,5431,5501,5551,5567,5583,5600,5619,5640,5662,5682,5703,5721,5739,5754,5771,5787,5808,5842,5874,5890,5869,5842,5794,5738,5684,5650,5721,5801,5880,5959,6000,6071,6118,6157,6203,6247
Mujeres,8,3831,3957,4086,4216,4348,4485,4629,4778,4928,5076,5217,5337,5429,5499,5551,5568,5585,5603,5623,5645,5668,5691,5709,5728,5742,5758,5776,5801,5822,5853,5885,5871,5852,5825,5777,5717,5668,5725,5798,5876,5952,5983,6050,6114,6157,6191,6232
Mujeres,9,3709,3839,3968,4096,4227,4360,4497,4642,4791,4942,5090,5222,5333,5425,5497,5550,5568,5586,5605,5626,5647,5673,5695,5714,5730,5747,5764,5792,5816,5836,5867,5867,5856,5838,5811,5759,5704,5745,5803,5874,5948,5979,6035,6097,6157,6195,6226
Mujeres,10,3579,3712,3845,3974,4103,4233,4367,4505,4650,4801,4953,5092,5215,5327,5420,5492,5545,5564,5582,5601,5622,5646,5671,5695,5714,5733,5752,5779,5808,5833,5854,5852,5856,5846,5828,5799,5752,5784,5825,5882,5949,5981,6037,6087,6146,6203,6238
Mujeres,11,3440,3577,3714,3846,3976,4105,4237,4372,4510,4657,4808,4952,5083,5206,5318,5412,5484,5538,5556,5575,5594,5618,5642,5670,5694,5716,5739,5767,5797,5827,5855,5840,5843,5849,5840,5819,5795,5834,5866,5906,5959,5987,6043,6094,6142,6197,6252
Mujeres,12,3295,3435,3575,3712,3845,3976,4106,4239,4374,4515,4662,4805,4941,5072,5196,5308,5401,5473,5526,5545,5562,5586,5611,5639,5666,5694,5720,5752,5784,5816,5850,5840,5832,5837,5844,5833,5819,5877,5917,5948,5985,6002,6053,6105,6154,6199,6253
Mujeres,13,3148,3288,3430,3571,3708,3842,3974,4105,4239,4376,4517,4657,4792,4928,5058,5182,5293,5385,5457,5510,5527,5551,5576,5603,5631,5662,5693,5729,5765,5801,5836,5832,5829,5824,5832,5838,5834,5900,5960,5998,6027,6030,6070,6118,6169,6216,6260
Mujeres,14,3000,3138,3280,3422,3563,3701,3836,3969,4101,4236,4373,4507,4638,4773,4908,5038,5160,5271,5362,5433,5485,5510,5534,5562,5588,5620,5654,5696,5737,5777,5816,5813,5817,5819,5817,5823,5838,5912,5981,6042,6079,6076,6102,6139,6186,6235,6281
Mujeres,15,2852,2985,3124,3266,3409,3551,3689,3825,3959,4093,4229,4358,4483,4613,4747,4880,5009,5129,5238,5328,5397,5457,5482,5509,5535,5566,5600,5647,5693,5738,5781,5781,5789,5799,5805,5802,5818,5910,5989,6061,6123,6129,6149,6172,6209,6254,6303
