Sexo,edad,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Hombres,33,0.005736,0.005488,0.005738,0.005947,0.005981,0.00588,0.00589,0.005784,0.005552,0.005431,0.005336,0.005092,0.00488,0.004594,0.004382,0.004289,0.004048,0.003925,0.003925,0.003822,0.003689,0.003538,0.00346,0.003397,0.003349,0.003335,0.003214,0.003092,0.00297,0.002795,0.0026,0.002495,0.002464,0.002442,0.002377,0.002432,0.00244,0.00254,0.00269,0.002819,0.002906,0.002883,0.00283,0.002788,0.002756,0.002752
Hombres,34,0.005928,0.005679,0.005935,0.006148,0.006177,0.006064,0.00607,0.005954,0.005709,0.005583,0.005484,0.005232,0.005016,0.004719,0.004504,0.00441,0.004162,0.004038,0.004037,0.003931,0.003797,0.003645,0.003566,0.003501,0.003452,0.00344,0.003317,0.003192,0.00307,0.002888,0.002688,0.002581,0.002549,0.002524,0.002455,0.00251,0.002514,0.00261,0.002758,0.002884,0.00297,0.002942,0.002888,0.002847,0.002819,0.002824
Hombres,35,0.006125,0.005883,0.006143,0.006356,0.006382,0.006258,0.006256,0.00613,0.005874,0.005739,0.005639,0.00538,0.005157,0.004852,0.004632,0.004536,0.004286,0.004159,0.004156,0.004049,0.003913,0.003759,0.003678,0.003615,0.003565,0.003553,0.003427,0.003302,0.003179,0.002993,0.002788,0.002677,0.002643,0.002618,0.002545,0.002599,0.002597,0.002691,0.002837,0.002959,0.003042,0.003012,0.002955,0.002916,0.002892,0.002904
Hombres,36,0.006334,0.006093,0.006359,0.006578,0.006594,0.006461,0.006453,0.006318,0.006047,0.005906,0.005799,0.005536,0.005306,0.004996,0.00477,0.004674,0.004418,0.004288,0.004289,0.004179,0.004042,0.003883,0.003804,0.003739,0.003689,0.003679,0.003552,0.003424,0.0033,0.003111,0.002899,0.002785,0.00275,0.002724,0.002647,0.0027,0.002693,0.002783,0.002926,0.003048,0.003128,0.003094,0.003034,0.002996,0.002977,0.002998
Hombres,37,0.006556,0.006316,0.00659,0.006808,0.006824,0.00668,0.006664,0.006515,0.006234,0.006086,0.005977,0.005703,0.005469,0.005152,0.00492,0.004825,0.004562,0.00443,0.004435,0.004322,0.004183,0.004022,0.003941,0.003876,0.003826,0.003819,0.003691,0.003561,0.003435,0.003242,0.003024,0.002907,0.002872,0.002846,0.002764,0.002816,0.002802,0.002889,0.00303,0.00315,0.003228,0.00319,0.003127,0.003089,0.003076,0.003105
Hombres,38,0.006796,0.006562,0.006839,0.007059,0.007067,0.006913,0.006887,0.006734,0.006434,0.00628,0.006168,0.00589,0.005649,0.005323,0.005086,0.00499,0.004723,0.004589,0.004595,0.004482,0.004339,0.004175,0.004095,0.004029,0.003981,0.003975,0.003844,0.003715,0.003589,0.003391,0.003166,0.003045,0.003011,0.002982,0.002895,0.002946,0.002926,0.00301,0.00315,0.003268,0.003345,0.003302,0.003236,0.003199,0.003191,0.003229
Hombres,39,0.007052,0.006821,0.007107,0.007332,0.007335,0.007164,0.007136,0.006969,0.006656,0.006492,0.006378,0.006091,0.005846,0.005512,0.005271,0.005175,0.004902,0.004766,0.004774,0.004661,0.004516,0.004348,0.004268,0.0042,0.004152,0.004149,0.004018,0.003888,0.003759,0.003557,0.003325,0.003202,0.003165,0.003137,0.003044,0.003093,0.003067,0.003148,0.003287,0.003405,0.00348,0.003432,0.003364,0.003327,0.003324,0.00337
Hombres,40,0.007327,0.007107,0.007399,0.007625,0.007622,0.007441,0.007405,0.007223,0.006899,0.00673,0.006611,0.006315,0.006065,0.005722,0.005476,0.00538,0.005099,0.004962,0.004975,0.00486,0.004713,0.004539,0.004458,0.004393,0.004345,0.004346,0.004213,0.00408,0.003952,0.003745,0.003503,0.003375,0.00334,0.003311,0.003212,0.00326,0.003226,0.003305,0.003444,0.00356,0.003636,0.003583,0.003511,0.003474,0.003476,0.003533
Hombres,41,0.007627,0.007413,0.007715,0.007945,0.007935,0.007742,0.0077,0.00751,0.007166,0.006991,0.006869,0.006568,0.00631,0.005953,0.005699,0.005606,0.005321,0.005184,0.005201,0.005083,0.004932,0.004757,0.004674,0.004607,0.004559,0.004564,0.00443,0.004295,0.004166,0.003953,0.003702,0.003571,0.003535,0.003506,0.003398,0.003448,0.003407,0.003482,0.003623,0.003739,0.003814,0.003755,0.003679,0.003643,0.003651,0.003716
Hombres,42,0.007951,0.007753,0.008063,0.008299,0.00828,0.008074,0.008019,0.007819,0.007462,0.007277,0.007154,0.006843,0.00658,0.00621,0.005952,0.00586,0.005566,0.00543,0.005449,0.00533,0.005176,0.004995,0.004913,0.004846,0.004799,0.004808,0.004671,0.004536,0.004405,0.004184,0.003924,0.003788,0.003751,0.003721,0.003608,0.003658,0.003609,0.003682,0.003825,0.003942,0.004015,0.003952,0.003871,0.003836,0.003849,0.003923
